token,symbol,name,expiry,strike,lotsize,instrumenttype
"1164397","SENSEX24D1376500CE","SENSEX","13DEC2024",76500,"10","OPTIDX"
"1164522","SENSEX24D1380700CE","SENSEX","13DEC2024",80700,"10","OPTIDX"
"1164704","SENSEX24D1379500CE","SENSEX","13DEC2024",79500,"10","OPTIDX"
"1164938","SENSEX24D1379700CE","SENSEX","13DEC2024",79700,"10","OPTIDX"
"1164972","SENSEX24D1381300PE","SENSEX","13DEC2024",81300,"10","OPTIDX"
"1165045","SENSEX24D1383600PE","SENSEX","13DEC2024",83600,"10","OPTIDX"
"1165176","SENSEX24D1383700PE","SENSEX","13DEC2024",83700,"10","OPTIDX"
"1165305","SENSEX24D1384000PE","SENSEX","13DEC2024",84000,"10","OPTIDX"
"1165559","SENSEX24D1384100PE","SENSEX","13DEC2024",84100,"10","OPTIDX"
"1163908","SENSEX24D1377300PE","SENSEX","13DEC2024",77300,"10","OPTIDX"
"1163859","SENSEX24D1382100PE","SENSEX","13DEC2024",82100,"10","OPTIDX"
"1163912","SENSEX24D1381900CE","SENSEX","13DEC2024",81900,"10","OPTIDX"
"1163977","SENSEX24D1377900PE","SENSEX","13DEC2024",77900,"10","OPTIDX"
"1164016","SENSEX24D1378400CE","SENSEX","13DEC2024",78400,"10","OPTIDX"
"1164122","SENSEX24D1381100CE","SENSEX","13DEC2024",81100,"10","OPTIDX"
"1164162","SENSEX24D1377800CE","SENSEX","13DEC2024",77800,"10","OPTIDX"
"1164200","SENSEX24D1383400CE","SENSEX","13DEC2024",83400,"10","OPTIDX"
"1164208","SENSEX24D1376600PE","SENSEX","13DEC2024",76600,"10","OPTIDX"
"1164287","SENSEX24D1378900PE","SENSEX","13DEC2024",78900,"10","OPTIDX"
"1164319","SENSEX24D1379400CE","SENSEX","13DEC2024",79400,"10","OPTIDX"
"1164366","SENSEX24D1381300CE","SENSEX","13DEC2024",81300,"10","OPTIDX"
"1164342","SENSEX24D1380800PE","SENSEX","13DEC2024",80800,"10","OPTIDX"
"1164452","SENSEX24D1379300CE","SENSEX","13DEC2024",79300,"10","OPTIDX"
"1164581","SENSEX24D1381200PE","SENSEX","13DEC2024",81200,"10","OPTIDX"
"1164537","SENSEX24D1377900CE","SENSEX","13DEC2024",77900,"10","OPTIDX"
"1164608","SENSEX24D1380000CE","SENSEX","13DEC2024",80000,"10","OPTIDX"
"1163857","SENSEX24D1377000CE","SENSEX","13DEC2024",77000,"10","OPTIDX"
"1163885","SENSEX24D1382400CE","SENSEX","13DEC2024",82400,"10","OPTIDX"
"1163979","SENSEX24D1376400PE","SENSEX","13DEC2024",76400,"10","OPTIDX"
"1163988","SENSEX24D1378100PE","SENSEX","13DEC2024",78100,"10","OPTIDX"
"1164041","SENSEX24D1378700PE","SENSEX","13DEC2024",78700,"10","OPTIDX"
"1164088","SENSEX24D1375500CE","SENSEX","13DEC2024",75500,"10","OPTIDX"
"1164110","SENSEX24D1379500PE","SENSEX","13DEC2024",79500,"10","OPTIDX"
"1164248","SENSEX24D1382200PE","SENSEX","13DEC2024",82200,"10","OPTIDX"
"1164278","SENSEX24D1380200PE","SENSEX","13DEC2024",80200,"10","OPTIDX"
"1164305","SENSEX24D1382200CE","SENSEX","13DEC2024",82200,"10","OPTIDX"
"1164338","SENSEX24D1375700CE","SENSEX","13DEC2024",75700,"10","OPTIDX"
"1164466","SENSEX24D1375600CE","SENSEX","13DEC2024",75600,"10","OPTIDX"
"1164469","SENSEX24D1378800CE","SENSEX","13DEC2024",78800,"10","OPTIDX"
"1164472","SENSEX24D1377300CE","SENSEX","13DEC2024",77300,"10","OPTIDX"
"1164475","SENSEX24D1382400PE","SENSEX","13DEC2024",82400,"10","OPTIDX"
"1164599","SENSEX24D1378400PE","SENSEX","13DEC2024",78400,"10","OPTIDX"
"1164707","SENSEX24D1378000CE","SENSEX","13DEC2024",78000,"10","OPTIDX"
"1164716","SENSEX24D1375800CE","SENSEX","13DEC2024",75800,"10","OPTIDX"
"1164727","SENSEX24D1382600PE","SENSEX","13DEC2024",82600,"10","OPTIDX"
"1164838","SENSEX24D1375400PE","SENSEX","13DEC2024",75400,"10","OPTIDX"
"1164843","SENSEX24D1378600PE","SENSEX","13DEC2024",78600,"10","OPTIDX"
"1164916","SENSEX24D1379400PE","SENSEX","13DEC2024",79400,"10","OPTIDX"
"1165003","SENSEX24D1376500PE","SENSEX","13DEC2024",76500,"10","OPTIDX"
"1165131","SENSEX24D1383800PE","SENSEX","13DEC2024",83800,"10","OPTIDX"
"1165532","SENSEX24D1384200CE","SENSEX","13DEC2024",84200,"10","OPTIDX"
"1165636","SENSEX24D1384200PE","SENSEX","13DEC2024",84200,"10","OPTIDX"
"1166295","SENSEX24D1375100PE","SENSEX","13DEC2024",75100,"10","OPTIDX"
"1166574","SENSEX24D1375000PE","SENSEX","13DEC2024",75000,"10","OPTIDX"
"1167770","SENSEX24D1373800PE","SENSEX","13DEC2024",73800,"10","OPTIDX"
"1167826","SENSEX24D1373900CE","SENSEX","13DEC2024",73900,"10","OPTIDX"
"1163853","SENSEX24D1378500CE","SENSEX","13DEC2024",78500,"10","OPTIDX"
"1164148","SENSEX24D1376000PE","SENSEX","13DEC2024",76000,"10","OPTIDX"
"1168431","SENSEX24D1374000PE","SENSEX","13DEC2024",74000,"10","OPTIDX"
"1170745","SENSEX24D1373600CE","SENSEX","13DEC2024",73600,"10","OPTIDX"
"1172188","SENSEX24D1373600PE","SENSEX","13DEC2024",73600,"10","OPTIDX"
"1168337","SENSEX24D1374500PE","SENSEX","13DEC2024",74500,"10","OPTIDX"
"1168415","SENSEX24D1374600CE","SENSEX","13DEC2024",74600,"10","OPTIDX"
"1168293","SENSEX24D1374300PE","SENSEX","13DEC2024",74300,"10","OPTIDX"
"821014","SENSEX24D1373400PE","SENSEX","13DEC2024",73400,"10","OPTIDX"
"820871","SENSEX24D1373500CE","SENSEX","13DEC2024",73500,"10","OPTIDX"
"1163897","SENSEX24D1375600PE","SENSEX","13DEC2024",75600,"10","OPTIDX"
"820658","SENSEX24D1373400CE","SENSEX","13DEC2024",73400,"10","OPTIDX"
"1163983","SENSEX24D1379600PE","SENSEX","13DEC2024",79600,"10","OPTIDX"
"1164013","SENSEX24D1379900CE","SENSEX","13DEC2024",79900,"10","OPTIDX"
"1168370","SENSEX24D1374400CE","SENSEX","13DEC2024",74400,"10","OPTIDX"
"1164191","SENSEX24D1380900PE","SENSEX","13DEC2024",80900,"10","OPTIDX"
"1164243","SENSEX24D1377100CE","SENSEX","13DEC2024",77100,"10","OPTIDX"
"1164222","SENSEX24D1381400CE","SENSEX","13DEC2024",81400,"10","OPTIDX"
"1164358","SENSEX24D1379700PE","SENSEX","13DEC2024",79700,"10","OPTIDX"
"1164407","SENSEX24D1383300PE","SENSEX","13DEC2024",83300,"10","OPTIDX"
"1164631","SENSEX24D1377200CE","SENSEX","13DEC2024",77200,"10","OPTIDX"
"1164730","SENSEX24D1376000CE","SENSEX","13DEC2024",76000,"10","OPTIDX"
"1164747","SENSEX24D1379800PE","SENSEX","13DEC2024",79800,"10","OPTIDX"
"1164751","SENSEX24D1382900CE","SENSEX","13DEC2024",82900,"10","OPTIDX"
"1164777","SENSEX24D1380900CE","SENSEX","13DEC2024",80900,"10","OPTIDX"
"1164858","SENSEX24D1378900CE","SENSEX","13DEC2024",78900,"10","OPTIDX"
"1164848","SENSEX24D1381700CE","SENSEX","13DEC2024",81700,"10","OPTIDX"
"1164886","SENSEX24D1376900CE","SENSEX","13DEC2024",76900,"10","OPTIDX"
"1164907","SENSEX24D1376200PE","SENSEX","13DEC2024",76200,"10","OPTIDX"
"1164987","SENSEX24D1381600CE","SENSEX","13DEC2024",81600,"10","OPTIDX"
"1164047","SENSEX24D1377200PE","SENSEX","13DEC2024",77200,"10","OPTIDX"
"1164660","SENSEX24D1381800PE","SENSEX","13DEC2024",81800,"10","OPTIDX"
"1164670","SENSEX24D1382000PE","SENSEX","13DEC2024",82000,"10","OPTIDX"
"1164758","SENSEX24D1383100CE","SENSEX","13DEC2024",83100,"10","OPTIDX"
"1164772","SENSEX24D1377800PE","SENSEX","13DEC2024",77800,"10","OPTIDX"
"1164774","SENSEX24D1376300PE","SENSEX","13DEC2024",76300,"10","OPTIDX"
"1164787","SENSEX24D1376600CE","SENSEX","13DEC2024",76600,"10","OPTIDX"
"1164793","SENSEX24D1378300CE","SENSEX","13DEC2024",78300,"10","OPTIDX"
"1164795","SENSEX24D1383400PE","SENSEX","13DEC2024",83400,"10","OPTIDX"
"1164834","SENSEX24D1376900PE","SENSEX","13DEC2024",76900,"10","OPTIDX"
"1164846","SENSEX24D1377100PE","SENSEX","13DEC2024",77100,"10","OPTIDX"
"1164944","SENSEX24D1378200CE","SENSEX","13DEC2024",78200,"10","OPTIDX"
